,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling
0,2.000000,"[2, 0, 2]",910.000000,"{2: 10, 0: 8}"
1,3.000000,"[1, 3, 3, 2]",1910.000000,"{1: 7, 3: 9, 2: 7}"
2,4.000000,"[0, 0, 4, 2, 1]",800.000000,"{0: 8, 4: 7, 2: 7, 1: 9}"
3,4.000000,"[2, 4, 4, 1, 1, 0]",1640.000000,"{2: 6, 4: 10, 1: 9, 0: 8}"
4,7.000000,"[0, 2, 6, 4, 3, 5, 1]",900.000000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}"
5,4.000000,"[7, 1, 7, 5, 1, 0, 5, 0]",4780.000000,"{7: 10, 1: 10, 5: 10, 0: 8}"
6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",990.000000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}"
7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",3800.000000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}"
8,3.000000,"[2, 0, 1]",620.000000,"{2: 4, 0: 8, 1: 7}"
9,3.000000,"[2, 0, 1, 0]",840.000000,"{2: 6, 0: 10, 1: 9}"
10,4.000000,"[1, 0, 0, 4, 3]",1790.000000,"{1: 8, 0: 9, 4: 7, 3: 9}"
11,6.000000,"[5, 2, 0, 4, 1, 3]",720.000000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}"
12,7.000000,"[0, 2, 6, 4, 3, 5, 1]",1010.000000,"{0: 9, 2: 6, 6: 7, 4: 6, 3: 5, 5: 9, 1: 8}"
13,7.000000,"[6, 0, 4, 3, 1, 5, 7, 0]",8810.000000,"{6: 7, 0: 10, 4: 8, 3: 7, 1: 6, 5: 6, 7: 5}"
14,8.000000,"[2, 7, 6, 1, 5, 8, 0, 8, 3]",1660.000000,"{2: 7, 7: 9, 6: 4, 1: 9, 5: 8, 8: 9, 0: 7, 3: 8}"
15,9.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 1]",2820.000000,"{9: 8, 2: 6, 1: 9, 7: 9, 0: 6, 5: 9, 6: 8, 3: 8, 4: 8}"
16,3.000000,"[2, 0, 1]",670.000000,"{2: 4, 0: 8, 1: 7}"
17,3.000000,"[2, 0, 2, 3]",870.000000,"{2: 9, 0: 9, 3: 5}"
18,4.000000,"[0, 4, 0, 3, 2]",2080.000000,"{0: 10, 4: 6, 3: 6, 2: 8}"
19,6.000000,"[5, 2, 0, 4, 1, 3]",790.000000,"{5: 6, 2: 9, 0: 6, 4: 5, 1: 8, 3: 8}"
20,5.000000,"[4, 2, 1, 3, 5, 5, 1]",2540.000000,"{4: 9, 2: 9, 1: 9, 3: 7, 5: 10}"
21,7.000000,"[6, 0, 4, 3, 1, 5, 7, 5]",1260.000000,"{6: 8, 0: 8, 4: 5, 3: 6, 1: 8, 5: 10, 7: 7}"
22,8.000000,"[2, 7, 6, 1, 5, 8, 0, 3, 8]",1540.000000,"{2: 9, 7: 8, 6: 5, 1: 9, 5: 8, 8: 10, 0: 7, 3: 8}"
23,6.000000,"[0, 4, 2, 4, 6, 9, 6, 0, 2, 7]",4620.000000,"{0: 10, 4: 10, 2: 10, 6: 10, 9: 7, 7: 4}"
24,2.000000,"[1, 0, 0]",1910.000000,"{1: 7, 0: 10}"
25,3.000000,"[2, 0, 1, 0]",870.000000,"{2: 8, 0: 10, 1: 7}"
26,4.000000,"[0, 3, 4, 2, 0]",960.000000,"{0: 10, 3: 7, 4: 8, 2: 7}"
27,6.000000,"[5, 2, 0, 4, 1, 3]",700.000000,"{5: 6, 2: 8, 0: 8, 4: 9, 1: 9, 3: 6}"
28,5.000000,"[0, 2, 2, 4, 3, 5, 4]",1140.000000,"{0: 5, 2: 8, 4: 10, 3: 8, 5: 9}"
29,7.000000,"[5, 3, 1, 6, 4, 0, 0, 7]",2660.000000,"{5: 7, 3: 9, 1: 7, 6: 8, 4: 8, 0: 10, 7: 8}"
30,6.000000,"[5, 2, 7, 8, 4, 3, 7, 2, 3]",2900.000000,"{5: 8, 2: 9, 7: 8, 8: 9, 4: 9, 3: 10}"
31,10.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 8]",1620.000000,"{9: 8, 2: 6, 1: 8, 7: 7, 0: 7, 5: 9, 6: 8, 3: 6, 4: 8, 8: 9}"
32,3.000000,"[2, 0, 1]",690.000000,"{2: 5, 0: 7, 1: 6}"
33,3.000000,"[0, 1, 2, 0]",2200.000000,"{0: 10, 1: 8, 2: 5}"
34,4.000000,"[0, 3, 4, 2, 0]",750.000000,"{0: 10, 3: 9, 4: 4, 2: 8}"
35,5.000000,"[5, 2, 0, 4, 1, 5]",890.000000,"{5: 10, 2: 5, 0: 8, 4: 9, 1: 8}"
36,6.000000,"[3, 0, 6, 0, 4, 1, 5]",2290.000000,"{3: 8, 0: 10, 6: 8, 4: 9, 1: 9, 5: 8}"
37,7.000000,"[6, 0, 4, 3, 1, 5, 7, 1]",1130.000000,"{6: 8, 0: 9, 4: 7, 3: 8, 1: 9, 5: 4, 7: 8}"
38,7.000000,"[5, 6, 0, 8, 7, 1, 7, 2, 5]",3250.000000,"{5: 10, 6: 9, 0: 9, 8: 8, 7: 10, 1: 7, 2: 9}"
39,8.000000,"[5, 0, 9, 3, 6, 2, 3, 4, 0, 8]",4330.000000,"{5: 9, 0: 10, 9: 9, 3: 10, 6: 7, 2: 8, 4: 4, 8: 8}"
